Site,Dist,Site name,Start,End,Lat,Lon,Source,STA,Height (m),Bar_ht,WMO
068009,68,BURRAWANG (RANGE STREET),1891,2016,-34.5961,150.5187,GPS,NS,758,..,..
068010,68,BUXTON (GIRRAHWEEN),1935,1953,-34.3,150.5,.....,NS,365.8,..,..
068011,68,CAMDEN BOWLING CLUB,1883,1977,-34.05,150.7167,.....,NS,67.7,..,..
068012,68,CAMDEN MWSDB,1946,1970,-34.05,150.7,.....,NS,67,..,..
068013,68,MENANGLE JMAI,1861,1998,-34.1258,150.7375,.....,NS,80,..,..
068014,68,CAMPBELLTOWN 1,1845,1961,-34.0667,150.8,.....,NS,76.2,..,..
068015,68,CAMPBELLTOWN 2 MWSDB,1946,1970,-34.0667,150.8167,.....,NS,61,..,..
068016,68,CATARACT DAM,1904,2013,-34.2644,150.8062,GPS,NS,340,..,..
068017,68,CATARACT RIVER,1883,1966,-34.2333,150.75,.....,NS,159,..,..
068018,68,CORDEAUX NO.1 DAM,1909,1967,-34.3333,150.7333,.....,NS,340.5,..,..
068019,68,CORDEAUX NO.2 DAM,1915,1967,-34.4333,150.7833,.....,NS,300,..,..
068020,68,CORDEAUX QUARTERS,1932,1967,-34.3333,150.75,.....,NS,330,..,..
068021,68,CROOKHAVEN HEADS,1904,1958,-34.9,150.7,.....,NS,..,..,..
068022,68,DAPTO BOWLING CLUB,1906,2019,-34.5,150.7885,GPS,NS,10,..,..
068023,68,DAPTO WEST (STANE DYKES),1898,1987,-34.4708,150.7736,.....,NS,42,..,..
068024,68,DARKES FOREST (KINTYRE),1894,..,-34.2272,150.9111,GPS,NS,370,..,..
068025,68,EXETER,1908,1975,-34.6,150.3,.....,NS,710.5,..,..
068026,68,FOXGROUND (NESTOR FARM),1945,1967,-34.7167,150.7667,.....,NS,61,..,..
068027,68,GERRINGONG (MAYFLOWER VILLAGE),1895,2012,-34.7472,150.8211,GPS,NS,20,..,..
068028,68,HELENSBURGH (SAWAN ST),1889,2007,-34.1908,150.9746,GPS,NS,238,..,..
068029,68,KANGAROO VALLEY (BUDGONG),1999,2021,-34.7796,150.4614,GPS,NS,150,..,..
068030,68,MITTAGONG (HIGH RANGE),1945,2006,-34.3738,150.2999,GPS,NS,735,..,..
068031,68,BURRUER (ILLAROO),1902,1963,-34.8667,150.45,.....,NS,..,..,..
068032,68,JAMBEROO (LORNA),1885,1963,-34.65,150.7833,.....,NS,10,..,..
068033,68,MITTAGONG (MARIST RILEYS FARM),1902,..,-34.4585,150.4931,GPS,NS,610,..,..
068034,68,JERVIS BAY (POINT PERPENDICULAR L,1899,2004,-35.0936,150.8048,GPS,NS,85,83.4,94940
068035,68,JAMBEROO (THE RIDGE),1992,..,-34.6642,150.7586,GPS,NS,160,..,..
068036,68,KANGAROO VALLEY (MAIN RD),1914,..,-34.7358,150.5332,GPS,NS,85,..,..
068037,68,KENNY HILL,1925,1970,-34.05,150.7667,.....,NS,107,..,..
068038,68,KIAMA BOWLING CLUB,1897,2011,-34.675,150.8519,GPS,NS,10,..,..
068039,68,MADDENS CREEK,1907,1970,-34.25,150.9333,.....,NS,330,..,..
068040,68,MITTAGONG (MAGUIRES CROSSING),1928,1970,-34.4833,150.5333,.....,NS,58,..,..
068041,68,MENANGLE,1895,1952,-34.1,150.7,.....,NS,83.2,..,..
068042,68,MINTO 2,1928,1949,-34,150.8,.....,NS,..,..,..
068043,68,MINTO SURREY STREET,1889,1990,-34.0283,150.8433,.....,NS,43,..,..
068044,68,MITTAGONG (ALFRED STREET),1886,..,-34.4472,150.4566,GPS,NS,635,..,..
068045,68,MOSS VALE (HOSKINS STREET),1870,2022,-34.5444,150.3768,GPS,NS,675,..,..
068046,68,MOUNT PLEASANT,1907,1964,-34.4,150.9,.....,NS,198.1,..,..
068047,68,NEPEAN DAM,1926,1970,-34.3333,150.6,.....,NS,560,..,..
068048,68,NOWRA TREATMENT WORKS,1896,2022,-34.872,150.618,GPS,NS,10,..,..
068049,68,OBRIENS GAP,1925,1954,-34.4,150.8,.....,NS,..,..,..
068050,68,ORANGEVILLE,1945,1957,-34,150.55,.....,NS,..,..,..
068051,68,PENROSE (PANORAMA),1900,1975,-34.6667,150.2333,.....,NS,646.2,..,..
068052,68,PICTON COUNCIL DEPOT,1880,2022,-34.1685,150.6145,GPS,NS,165,..,..
068053,68,PORT KEMBLA SIGNAL STATION,1950,2021,-34.4772,150.9131,GPS,NS,11,..,..
068054,68,ROBERTSON (CAALONG STREET),1890,2017,-34.5845,150.5926,GPS,NS,758,..,..
068055,68,ROBERTSON WATER SUPPLY,1902,1952,-34.6,150.6,.....,NS,..,..,..
068056,68,SHERBROOKE,1892,1970,-34.3,150.9,.....,NS,356.6,..,..
068057,68,SUBLIME POINT (TOOMA),1940,1967,-34.3167,150.9,.....,NS,399.3,..,..
068058,68,SUTTON FOREST (URALBA),1901,1966,-34.5667,150.35,.....,NS,658.4,..,..
068059,68,THE OAKS JOHN STREET,1912,1975,-34.0833,150.5833,.....,NS,290,..,..
068060,68,UNANDERRA,1903,1969,-34.4667,150.8333,.....,NS,12.2,..,..
068061,68,VIADUCT CREEK,1933,1968,-34.5167,150.7,.....,NS,549,..,..
068062,68,HIGH RANGE (WANGANDERRY),1921,2011,-34.3447,150.2676,GPS,NS,740,..,..
068063,68,WATERFALL (GARRAWARRA H),1907,1970,-34.1667,150.9667,.....,NS,280,..,..
068064,68,WATERFALL,1933,1940,-34.15,151,.....,NS,..,..,..
068065,68,WEDDERBURN,1930,1971,-34.1667,150.8167,.....,NS,250,..,..
068066,68,WILTON,1869,1967,-34.2,150.6,.....,NS,174,..,..
068067,68,WINGELLO STATE FOREST,1940,1972,-34.7167,150.2,.....,NS,640.1,..,..
068068,68,WOLLONDILLY (BULLIO),1941,1988,-34.3472,150.15,.....,NS,675,..,..
068069,68,WOLLONGONG POST OFFICE,1870,1953,-34.4333,150.8833,.....,NS,30,..,..
068070,68,WORONORA DAM,1927,..,-34.1167,150.9333,.....,NS,177,..,..
068071,68,YERRINBOOL,1916,1970,-34.3667,150.55,.....,NS,500,..,..
068072,68,NOWRA RAN AIR STATION AWS,2000,..,-34.9469,150.5353,GPS,NS,109,105,94750
068073,68,KANGALOOM E (GLEN MAVIS),1953,1979,-34.5167,150.5333,.....,NS,671,..,..
068074,68,WOLLONGONG (SMITHS HILL),1938,1972,-34.4333,150.9,.....,NS,15.2,..,..
068075,68,SUTTON FOREST (CHERRY TREE HILL),1956,1980,-34.55,150.2667,.....,NS,674,..,..
068076,68,NOWRA RAN AIR STATION,1942,2000,-34.9449,150.545,GPS,NS,109,110,..
068077,68,KANGAROO VALLEY,1899,1919,-34.75,150.5,.....,NS,..,..,..
068078,68,HYMAS BEACH CYRUS STREET,1960,1974,-35.1,150.7,.....,NS,15,..,..
068079,68,JERVIS BAY NATURE RESERVE,1958,1993,-35.1319,150.7056,.....,NS,40,..,..
068080,68,GREENWELL POINT BOWLING CLUB,1960,..,-34.9158,150.7312,GPS,NS,3,..,..
068081,68,CAMPBELLTOWN SWIMMING CENTRE,1959,1984,-34.0833,150.8167,.....,NS,75,..,..
068082,68,YALWAL,1903,1984,-34.9325,150.3867,.....,NS,110,..,..
068083,68,CULBURRA TREATMENT WORKS,1962,..,-34.9284,150.7482,GPS,NS,15,..,..
068084,68,TERARA,1961,1965,-34.8667,150.6333,.....,NS,9.1,..,..
068085,68,NERRIGA (TOLWONG),1961,2020,-34.8485,150.1352,GPS,NS,600,..,..
068086,68,MOUNT KEIRA SCOUT CAMP,1944,1992,-34.4031,150.8433,.....,NS,310,..,..
068087,68,SPRING HILL (WARANA),1959,1967,-34.4333,150.5,.....,NS,..,..,..
068088,68,SANCTUARY POINT (SALINAS STREET),2000,..,-35.0938,150.6228,GPS,NS,9,..,..
068089,68,JOADJA (GREENWALK),1959,2017,-34.4295,150.2354,GPS,NS,725,..,..
068090,68,BANGADILLY,1959,1966,-34.4833,150.1167,.....,NS,64,..,..
068091,68,BERRIMA WEST POST OFFICE,1959,1969,-34.4833,150.2667,.....,NS,640.1,..,..
068092,68,BERRIMA (HILLVIEW),1959,1967,-34.4833,150.3667,.....,NS,762,..,..
068093,68,SUTTON FOREST (ELING FOREST),1945,2004,-34.5695,150.2576,GPS,NS,658,..,..
068094,68,BRIDGEWATER,1959,1967,-34.6,150.2167,.....,NS,736.1,..,..
068095,68,CANYONLEIGH (MEGALONG),1959,1972,-34.55,150.15,.....,NS,701,..,..
068096,68,CANYONLEIGH (GLENCOE),1945,1980,-34.6,150.1167,.....,NS,594,..,..
068097,68,SPRING VALLEY (WINGELLO),1959,1963,-34.65,150.1333,.....,NS,609.6,..,..
068098,68,TUGALONG (MOSS VALE),1960,1966,-34.4,150.15,.....,NS,749.8,..,..
068099,68,BOYTON LEA,1960,1968,-34.4333,150.3333,.....,NS,670.6,..,..
068100,68,BUNDANOON (PLATTWOOD),1961,2012,-34.6519,150.3085,GPS,NS,680,..,..
068101,68,BOWRAL  (RIVERSIDE),1961,2006,-34.5397,150.4785,GPS,NS,665,..,..
068102,68,BOWRAL (PARRY DRIVE),1961,2015,-34.4869,150.4019,GPS,NS,690,..,94747
068103,68,MOUNT KEIRA SUMMIT,1962,1966,-34.4,150.85,.....,NS,304.8,..,..
068104,68,TALLAWARRA POWER STATION,1962,1989,-34.5217,150.8083,.....,NS,10,..,..
068105,68,NOWRA COUNCIL OFFICES,1884,1935,-34.8833,150.6,.....,NS,7.9,..,..
068106,68,CLIFTON (COALCLIFF),1943,1998,-34.2453,150.9697,GPS,NS,90,..,..
068107,68,COLEDALE RAILWAY STATION,1943,1984,-34.2833,150.95,.....,NS,40,..,..
068108,68,WOONONA (POPES RD),1886,2022,-34.342,150.8999,GPS,NS,45,..,..
068109,68,TALLONG (CAOURA),1919,1975,-34.7833,150.1667,.....,NS,616,..,..
068110,68,BERKELEY (NORTHCLIFFE DRIVE),1962,..,-34.483,150.8555,GPS,NS,5,..,..
068111,68,BUDGONG,1962,1971,-34.7667,150.4833,.....,NS,475.5,..,..
068112,68,GARIE BEACH,1962,1985,-34.1667,151.0667,.....,NS,6,..,..
068113,68,DUNMORE (KURRAWONG),1962,1974,-34.6,150.85,.....,NS,12.2,..,..
068114,68,BUNDANOON (MERYLA),1962,1971,-34.6667,150.3667,.....,NS,625,..,..
068115,68,OCEAN VIEW (ROBERTSON),1962,1969,-34.5667,150.6167,.....,NS,792.5,..,..
068116,68,PHEASANTS GROUND,1962,1969,-34.6,150.65,.....,NS,563.9,..,..
068117,68,ROBERTSON (ST.ANTHONYS),1962,2005,-34.59,150.6085,GPS,NS,760,..,..
068118,68,CAMBEWARRA (TAPI TALLIE),1962,1978,-34.8333,150.5333,.....,NS,76,..,..
068119,68,TOWRADGI,1962,1975,-34.3833,150.9,.....,NS,9.1,..,..
068120,68,WILTON POST OFFICE,1962,1980,-34.25,150.7,.....,NS,222,..,..
068121,68,YALLAH,1962,1973,-34.5333,150.7833,.....,NS,12.2,..,..
068122,68,CAWDOR (WOODBURN),1962,..,-34.1014,150.6444,GPS,NS,132,..,..
068123,68,WINDANG BOWLING CLUB,1962,..,-34.5326,150.8679,GPS,NS,5,..,..
